,Mora últimos 3 meses_woe,Mora últimos 6 meses _woe,tiempo trabajado_woe,Cuentas x Cobrar_woe,Provisión General_woe,Saldo  Capital_woe,edad_woe,endeudameinto_woe,cargo_woe,Plazo residual_woe,cuota total_woe,antigüedad cuando otorgaron el crédito_woe,Valor crédito_woe,tasa_woe,Linea de Credito_woe,Plazo crédito_woe,FlagTarget
59,-0.0,-0.0,0.3290234126082224,-0.5107272421435983,-0.5872673192659328,-0.5359740248783822,0.5200786493709316,0.15134223537076966,0.5521669639224323,-0.8820668594865774,-0.04135037568867193,0.10587986129401256,-0.36412376795172297,-0.8023786988828784,0.14670185581426753,-0.5872673192659328,0
60,-0.0,-0.0,-0.8648990558642121,-0.5107272421435983,-0.5872673192659328,-0.5359740248783822,-0.9106674743197928,0.15134223537076966,-0.4594339477560479,-0.8820668594865774,-0.43311663943867446,-0.012725881113834433,-0.36412376795172297,-0.8023786988828784,-0.020160859601352412,-0.5872673192659328,0
61,-0.0,-0.0,0.3290234126082224,-0.5107272421435983,-0.5582797823926803,-0.5359740248783822,0.5200786493709316,1.3898953732934853,-0.4594339477560479,1.139953628824551,-0.04135037568867193,0.10587986129401256,-0.2587632522938967,0.20298269171285704,-0.020160859601352412,0.12699678473493525,1
62,-0.0,-0.0,-0.8648990558642121,-0.5107272421435983,-0.5872673192659328,-0.5359740248783822,-0.4694842836095493,0.15134223537076966,-0.4594339477560479,-0.8820668594865774,-0.04135037568867193,-0.90312026868441,-0.36412376795172297,-0.8023786988828784,0.14670185581426753,-0.5872673192659328,0
63,-0.0,-0.0,1.468457695796587,0.9955023460860062,1.0221705931681677,1.0221705931681677,0.5200786493709316,1.3898953732934853,0.5521669639224323,2.4084649542880583,0.36676374059106936,1.9384613250423228,0.49607749727138833,0.20298269171285704,-0.020160859601352412,0.12699678473493525,1
64,-0.0,-0.0,-0.7270292616410915,0.9955023460860062,0.0413413401564414,0.0413413401564414,0.5200786493709316,-0.36412376795172297,-0.4594339477560479,0.0413413401564414,0.3290234126082224,-0.7695888760598875,0.49607749727138833,0.20298269171285704,-0.020160859601352412,0.12699678473493525,0
65,-0.0,-0.0,-0.7270292616410915,0.0413413401564414,-1.1373136561852046,-1.1373136561852046,-0.9106674743197928,0.15134223537076966,0.5521669639224323,-1.1060611126811002,0.36676374059106936,-0.012725881113834433,0.49607749727138833,-0.8023786988828784,-0.020160859601352412,0.12699678473493525,0
66,-0.0,-0.0,-0.8648990558642121,0.9955023460860062,-1.1373136561852046,-1.1373136561852046,-0.9106674743197928,-1.280414499825878,-0.4594339477560479,-1.1060611126811002,0.36676374059106936,-0.90312026868441,0.49607749727138833,-0.8023786988828784,-0.020160859601352412,0.12699678473493525,0
67,-0.0,-0.0,-0.8648990558642121,-0.805956520230762,-0.29958524681415183,-0.4247483897681579,0.5200786493709316,-0.9927324273740972,-0.4594339477560479,-0.8820668594865774,0.3290234126082224,-0.90312026868441,0.49607749727138833,0.20298269171285704,-0.020160859601352412,0.12699678473493525,0
68,-0.0,-0.0,-0.7270292616410915,0.0413413401564414,-1.1373136561852046,-1.1373136561852046,-0.9106674743197928,0.15134223537076966,1.4921742224139032,-1.1060611126811002,0.36676374059106936,-0.012725881113834433,0.49607749727138833,0.20298269171285704,-0.020160859601352412,0.12699678473493525,0
